상호명,도로명,위도,경도
컴포즈커피경주황오점,경상북도 경주시 계림로,35.844057084303,129.213817947661
컴포즈커피장성,경상북도 포항시 북구 새천년대로1249번길,36.0747867028098,129.383666598349
컴포즈커피포항세명기독,경상북도 포항시 남구 상공로,36.0190153372863,129.361912491179
컴포즈커피경주,경상북도 경주시 북문로,35.8502794162421,129.209894257154
컴포즈커피칠곡북삼점,경상북도 칠곡군 북삼읍 인강1길,36.0671534606924,128.338688786738
컴포즈커피포항구룡포점,경상북도 포항시 남구 구룡포읍 호미로,35.9886013623678,129.552357589578
컴포즈커피인의점,경상북도 구미시 인동중앙로,36.1075843747482,128.421520560296
컴포즈커피문덕점,경상북도 포항시 남구 오천읍 남원로,35.9702430893745,129.400809322272
컴포즈커피세영리첼점,경상북도 구미시 산호대로,36.1392455056956,128.434479111222
컴포즈커피,경상북도 포항시 북구 천마로72번길,36.0827664384551,129.399627588701
컴포즈양학점,경상북도 포항시 북구 양학로9번길,36.0238221799801,129.350468195016
컴포즈커피포항메트로점,경상북도 포항시 북구 우창로,36.0668797060579,129.365878525844
컴포즈커피김천,경상북도 김천시 혁신6로,36.1238700585269,128.182079538967
컴포즈커피경주,경상북도 경주시 태종로685번길,35.8387882584168,129.203598737819
컴포즈커피진량이안점,경상북도 경산시 진량읍 일연로,35.8744719694503,128.804326001935
컴포즈커피김천,경상북도 김천시 혁신3로,36.1173253379867,128.182930886829
컴포즈커피경주양남점,경상북도 경주시 양남면 동해안로,35.7004104692032,129.470755262001
컴포즈커피진량1공단점,경상북도 경산시 진량읍 공단1로,35.8736533047237,128.822733761026
컴포즈커피구미1공단점,경상북도 구미시 산호대로,36.1027142525645,128.384954796038
컴포즈커피,경상북도 포항시 남구 효성로,36.0063303993622,129.335062621355
컴포즈커피환호점,경상북도 포항시 북구 삼호로,36.0708432502749,129.391889893467
컴포즈커피포항대이점,경상북도 포항시 남구 대이로,36.024976702135,129.340746910555
컴포즈커피경주외동,경상북도 경주시 외동읍 계동1길,35.676317187235,129.332382325193
컴포즈커피안동옥동점,경상북도 안동시 경북대로,36.56687144106,128.698573089969
컴포즈커피지곡점,경상북도 포항시 남구 지곡로,36.0292191054823,129.32393200863
컴포즈커피왜관산업단지점,경상북도 칠곡군 왜관읍 2산업단지4길,35.937333812791,128.409287872107
컴포즈커피,경상북도 포항시 북구 용두산길,36.0673105776577,129.380971453431
컴포즈커피,경상북도 포항시 북구 중앙로,36.0433683373916,129.365727516081
컴포즈동대로점,경상북도 경주시 동대로,35.8555585399327,129.205645690951
컴포즈커피영주가흥점,경상북도 영주시 대학로,36.8153273765225,128.605441827563
컴포즈커피거제아주,경상남도 거제시 아주1로2길,34.8666653841617,128.687804884278
컴포즈커피양산북정점,경상남도 양산시 북정로,35.3591158808,129.04285883206
컴포즈커피진주충무공점,경상남도 진주시 범골로54번길,35.1692859309766,128.131557495654
컴포즈커피이마트,경상남도 창원시 마산합포구 서성로,35.1978988315657,128.569974196251
